index,task_type,prompt,prompt_en
68,t2i,在繁华城市场景中的时尚狐狸角色，这是一幅充满活力和细节的艺术作品，专为粉丝们打造。,"Featuring a stylish fox character in a bustling city scene, this is a vibrant and detailed piece of art created just for fans."
69,t2i,一个闪亮的苹果，上面贴着时尚的标志贴纸，被以高质量的4K摄影捕捉到。,A shiny apple with a stylish logo sticker is captured in high quality 4K photography.
70,t2i,一个脸上涂着彩色颜料的男人在阳光明媚的公园里灿烂地笑着，背景柔和模糊，还有镜头光晕。,A man with colorful paint on his face smiles brightly in a sunny park with a soft blurred background and a lens halo.
73,t2i,充满希望的宇航员，金色的头发，在充满活力的红白太空场景中，灵感来源于艺术。,Hopeful astronauts with blonde hair in a vibrant red and white space scene inspired by art.
75,t2i,一张在阳光明媚的日子里，8k分辨率下拍摄的幸福家庭在公园里的照片。,A photo of a happy family in the park taken at 8k resolution on a sunny day.
79,t2i,玻璃温室里充满了沐浴在阳光下的花朵，在一个神秘的以太朋克世界中提供慰藉。,Glass greenhouses filled with sun-bathed flowers offer solace in a mysterious ether-punk world.
81,t2i,这是一幅由受欢迎的艺术家创作的宁静沙漠风景画，画中有巨大的沙丘和柔和的色彩。,This is a serene desert landscape painting by a popular artist with huge sand dunes and soft colors.
83,t2i,一位政治家在安静的办公室里反思过去的决定。,A politician reflects on past decisions in a quiet office.
86,t2i,这是一幅详细的油画，描绘了一个未来科幻角色，背景中有极光、云彩、星星和巴洛克元素。,"This is a detailed oil painting depicting a futuristic sci-fi character with auroras, clouds, stars and baroque elements in the background."
87,t2i,在一个宏伟大厅的魔幻氛围中，一个幻想角色被捕捉在高细节的8K图像中。,"In the magical atmosphere of a grand hall, a fantasy character is captured in a highly detailed 8K image."
90,t2i,一位身穿紫色斗篷的女巫在奇幻的背景下对一只生物施法。,A witch in a purple cloak casts a spell on a creature against a fantastical backdrop.
94,t2i,人们在一片草地上观看火箭在五彩斑斓的云彩下发射，草地上有一棵树。,People watch rockets launch under colorful clouds in a meadow with a tree.
96,t2i,这是一幅详细的肖像画，描绘了一只具有蝙蝠特征的友好生物，背景是柔和的渐变色调。,This is a detailed portrait of a friendly creature with bat-like features against a background of soft gradient color tones.
101,t2i,这是一位由现代艺术家设计的未来感十足的人物，他戴着光滑的头盔，身上布满了电线。,It's a futuristic figure designed by a modern artist who wears a sleek helmet and is covered in wires.
102,t2i,夜晚的雾蒙蒙城市街道，五彩斑斓的灯光和未来感十足的汽车，构成了一幅充满活力的都市景象。,"Foggy city streets at night, colorful lights and futuristic cars make for a vibrant urban scene."
103,t2i,一个穿着粉色夹克和蓝色西装的未来风格角色，坐在一辆铬制车辆中，周围是戏剧性的灯光。,A futuristic character in a pink jacket and blue suit sits in a chrome vehicle surrounded by dramatic lighting.
105,t2i,一位探险家和他的狗在北极徒步旅行，这是一幅美丽的数字艺术杰作。,A beautiful digital art masterpiece of an explorer and his dog hiking in the Arctic.
106,t2i,这是一幅宁静的数字画，描绘了一个充满发光植物和外星生物的系外行星丛林。,This is a serene digital painting depicting an exoplanet jungle filled with glowing plants and alien life.
107,t2i,一只安静的草鸮栖息在安静社区中一个温馨家园的屋顶上。,A quiet meadow owl perches on the roof of a cozy home in a quiet neighborhood.
108,t2i,迷人的水下场景，神奇的生物在充满活力的海洋中优雅地游动。,Captivating underwater scenes with magical creatures swimming gracefully through the vibrant ocean.
109,t2i,复古70年代的学校照片，照片中的人们有着古怪的眼神和笑容，被装在一个怀旧的、略带灰尘的相框中。,"Vintage 70's school photo of people with quirky eyes and smiles in a nostalgic, slightly dusty frame."
110,t2i,一对男女在一座中世纪风格的图书馆里聊天，图书馆的灯光效果变幻莫测，整体色调以蓝棕色为主。,A man and woman chat in a medieval-style library with changing lighting effects and an overall blue-brown color palette.
111,t2i,一个人在热闹的俱乐部氛围中唱卡拉OK。,A guy singing karaoke in a lively club atmosphere.
113,t2i,在一个繁忙的城市场景中，一个女孩站在红绿灯旁，手里拿着一个西瓜。,"In a busy city scene, a girl stands at a stoplight with a watermelon in her hand."
118,t2i,鲍勃·罗斯用数字艺术创作了一幅宁静的风景画，画中有一只山羊在宁静的草地上，画面平滑且细节丰富。,"Bob Ross creates a serene landscape with digital art featuring a goat in a peaceful meadow, smooth and detailed."
122,t2i,史诗般的、照片级逼真的4K肖像，具有电影般的光影和细节，使用Unreal Engine 5制作。,"Epic, photorealistic 4K portraits with cinematic lighting and detail, created using Unreal Engine 5."
123,t2i,20世纪20年代的美国绘画中，母亲的眼泪唤起了一段令人动容的家庭时刻。,"In 1920s American painting, a mother's tears evoke a moving family moment."
124,t2i,在热闹的节日场景中，一位身穿色彩斑斓服装、化着俏皮妆容的人的超高清自然照片。,Ultra HD natural photo of a person wearing colorful clothing and playful makeup in a lively holiday scene.
128,t2i,这是一幅详细的插图，描绘了一位年轻的弓箭手在充满活力的森林环境中，柔和的光线和精致的细节使画面栩栩如生。,"This is a detailed illustration depicting a young archer in a vibrant forest setting, brought to life by soft lighting and exquisite detail."
130,t2i,一位穿着闪亮礼服的美丽女士在一场华丽的活动中。,A beautiful lady in a sparkling gown at a glitzy event.
131,t2i,这是一幅宁静的花园景象，色彩鲜艳的花朵和茂盛的绿植在柔和的粉彩色调中显得格外美丽。,It's a serene garden scene with brightly colored flowers and lush greenery in soft pastel shades.
133,t2i,一块银色怀表静静地躺在一个宁静的林地金字塔山谷中，背景柔和模糊。,A silver pocket watch lies quietly in a peaceful woodland pyramid valley with a softly blurred background.
134,t2i,一位美丽的年轻女王身着精致的装饰艺术风格长裙，站在一个对称的、超现实的银河场景中。,"A beautiful young queen stands in a symmetrical, surreal galactic scene wearing an elaborate Art Deco gown."
141,t2i,宇航员在未来的宇宙飞船中自拍，飞船内有发光的红外灯和复杂的宇航服细节。,Astronauts take selfies in a futuristic spaceship with glowing infrared lights and intricate spacesuit details.
146,t2i,这是一张2022年里斯本便利店的真实照片，其引人注目的建筑风格受到了阿尔丰斯·穆夏风格的启发。,"Here's a real photo of a Lisbon convenience store in 2022, with striking architecture inspired by the Alphonse Mucha style."
149,t2i,一个宁静的公园场景，人们在享受阳光明媚的日子。,A peaceful park scene with people enjoying a sunny day.
150,t2i,这是一幅未来城市的景象，拥有流线型的摩天大楼和在夜晚照亮街道的鲜艳霓虹灯。,"It's a vision of the city of the future, complete with streamlined skyscrapers and bright neon lights that illuminate the streets at night."
152,t2i,天文摄影以超高清8K光线追踪的逼真效果捕捉银河系星云和太空云。,Astrophotography captures galactic nebulae and space clouds in ultra-high-definition 8K ray-traced realism.
156,t2i,传统的日本艺术与未来城市景观在充满活力的数字世界中相遇。,Traditional Japanese art meets futuristic cityscapes in a vibrant digital world.
157,t2i,一位宇航员在星空下探索宁静的月球景观 数字艺术作品,An astronaut explores the serene lunar landscape under the stars Digital Artwork
158,t2i,未来感十足的太阳能朋克城市，在暴风雨的傍晚天空下，拥有现代化的建筑和充满活力的城市生活。,Futuristic solar-powered punk city with modern architecture and vibrant city life under stormy evening skies.
159,t2i,这是一幅由多位艺术家创作的详细数字绘画，描绘了一位身穿盔甲和头盔的男性战士。,This is a detailed digital painting by multiple artists depicting a male warrior in armor and helmet.
160,t2i,在氛围感十足的环境中捕捉到的未来感玩具，以详细的黑白紫外线照片呈现。,Futuristic toys captured in ambient environments are presented in detailed black and white ultraviolet photographs.
161,t2i,这是一幅夜晚的城市景观，色彩鲜艳，建筑未来感十足，置身于繁忙的城市环境中。,It's a nighttime cityscape with vibrant colors and futuristic architecture in a busy urban environment.
162,t2i,一只戴着复古面具的怀旧生物力学老鼠穿着长袍，站在巨大的花朵下，背景是戏剧性的灯光。,A nostalgic biomechanical mouse in a vintage mask wearing a robe stands under a giant flower with dramatic lighting in the background.
164,t2i,宇航员在夏威夷海滩上享受着阳光明媚的一天，放松身心，这是一张高分辨率4K自然照片。,Astronauts enjoy a sunny day relaxing on a Hawaiian beach in a high-resolution 4K nature photo.
165,t2i,森林和草原在宁静的景色中交融。,Forests and grasslands mingle in the serene landscape.
171,t2i,一位超级英雄站在一位政客旁边，观察着伦敦的一座著名钟楼。,A superhero stands next to a politician and observes a famous clock tower in London.
172,t2i,一艘宇宙飞船探索了一个生机勃勃的生物机械外星世界，那里有色彩斑斓的生物和旋转的水涡。,A spaceship explores a vibrant biomechanical alien world of colorful creatures and swirling water vortices.
173,t2i,人们在宁静的沙漠中欣赏一座雄伟的雕像，夕阳西下，天空呈现出梦幻般的珊瑚色。,One admires a majestic statue in the serene desert as the sun sets and the sky takes on a dreamy coral color.
174,t2i,为初学者提供的DIY指南，包含清晰的插图和文字说明，用于组装储物箱。,A DIY guide for beginners with clear illustrations and written instructions for assembling storage bins.
175,t2i,WLOP在ArtStation上以8K UHD官方媒体发布的史诗级数字绘画概念艺术正在流行。,WLOP's epic digital painting concept art released on ArtStation in official 8K UHD media is catching on.
177,t2i,这是一张英雄冒险海报，展示了一场在繁忙城市夜景中进行的惊险救援任务。,This is a heroic adventure poster showing a thrilling rescue mission in a busy city night scene.
180,t2i,一对情侣在月光下探索雾蒙蒙的夜晚公园，2018年电影风格的场景。,A couple explores a foggy night park by moonlight in a 2018 movie-style scene.
183,t2i,一个穿着西装的人在正式场合中拿着一张宝丽来照片。,A man in a suit holding a Polaroid in a formal setting.
184,t2i,宇航员们在火星上享受音乐，这是一幅充满活力、细节丰富、色彩斑斓的数字画作，风格平滑、高清且半写实。,"Astronauts enjoying music on Mars, a vibrant, detailed and colorful digital painting in a smooth, high-definition and semi-realistic style."
185,t2i,在一幅数字插画中，一个宏伟的幻想人物在戏剧性的光线中矗立，细节复杂精致。,"In one digital illustration, a grand fantasy figure stands in dramatic light with intricate and exquisite detail."
186,t2i,这是一幅用自然光拍摄的两位女性肖像，她们的面部特征细节丰富，脸型对称，画面捕捉了她们的半身。,"This is a portrait of two women taken with natural light, their facial features are rich in detail, their faces are symmetrical, and the image captures their halves."
193,t2i,穿着达美航空公司飞行员制服的人形雄性熊，由艺术家们以细致的柔和光线进行风格化处理，并在Octane中渲染。,"Humanoid male bear in Delta Air Lines pilot's uniform, stylized by the artist in detailed soft light and rendered in Octane."
194,t2i,一位穿着时尚的女性在电影般的灯光下，穿着高跟鞋走过雾蒙蒙的城市景观。,A stylishly dressed woman walks across a foggy cityscape in high heels under movie-like lighting.
196,t2i,这是一幅令人惊叹的数字画，描绘了一位罗马贞女，画面在优雅的光线中呈现出锐利的焦点和精细的细节。,"This is a stunning digital depiction of a Roman chaste woman, with sharp focus and fine detail in elegant light."
199,t2i,这是一幅全身肖像画，描绘了一位身穿钢铁战甲的超级英雄，采用了电影般的光影效果和高细节描绘。,"This is a full-body portrait depicting a superhero in steel battle armor, featuring cinematic lighting effects and highly detailed depictions."
200,t2i,一位拥有黑色头发、穿着蓝色和灰色幻想服装的女巫在ArtStation上以4K艺术作品的形式走红。,A witch with black hair and a blue and gray fantasy costume has gone viral as a 4K art piece on ArtStation.
201,t2i,一位卷发女子在聚光灯下欢快地跳舞，身着粉蓝相间的服装，脸上洋溢着喜悦的笑容。,"A curly-haired woman dances joyfully under the spotlight, wearing a pink and blue costume and a joyful smile on her face."
202,t2i,在一个宁静的森林场景中，一个穿着紧身衣的蓝皮肤外星人通过自然的魔力变成了一只鸟。,"In a serene forest scene, a blue-skinned alien in tights transforms into a bird through the magic of nature."
203,t2i,请提供一个清晰的prompt以便我能进行适当的改写和调整。,Please provide a clear prompt so that I can make appropriate rewrites and adjustments.
204,t2i,秋天的树叶在宁静的公园场景中轻轻飘落。,Fall leaves gently fall in a serene park scene.
206,t2i,一个穿着防护服的男孩背着一个装有植物的玻璃背包，穿过烟雾弥漫的城市景象。,A boy in a protective suit carries a glass backpack with plants through a smoke-filled cityscape.
207,t2i,蒸汽朋克风格的长颈鹿机器人在一个宁静的日本花园场景中。,Steampunk style giraffe robot in a serene Japanese garden scene.
212,t2i,一个短发女孩在阳光明媚的天气里，在阿格德角海滩上欢快地跳跃。,A girl with short hair jumps for joy on the beach at Cape Agder on a sunny day.
213,t2i,这是一幅令人惊叹的马赛克艺术品，以阿尔弗雷多·坎德拉雷斯的风格呈现，具有逼真且细致的构图。,"This is a stunning mosaic artwork, presented in the style of Alfredo Candelares, with a realistic and detailed composition."
215,t2i,在一个赛博朋克世界的电影场景中，一个社交尴尬的机器人。,A socially awkward robot on a movie set in a cyberpunk world.
218,t2i,这是一幅背景细节丰富的插画，描绘了一位英雄的清晰肖像，他以动态姿势手持一把武士刀。,This is an illustration with a detailed background depicting a clear portrait of a hero in a dynamic pose holding a katana.
219,t2i,在绿色雾气弥漫的场景中，有一个可爱的拟人化角色，场景设计精致优雅，光线效果戏剧化。,A lovely anthropomorphic character in a green foggy scene with delicate and elegant set design and dramatic lighting effects.
220,t2i,从低角度看到的一幅逼真的海龟在靠近一个装满历史文物的宽敞阁楼附近睡觉的画作。,"A realistic painting of a sea turtle sleeping near a spacious attic filled with historical artifacts, seen from a low angle."
221,t2i,在梦幻的数字艺术风格中，从下方仰望一棵高耸入云的树。,Look up at a towering tree from below in a dreamy digital art style.
222,t2i,2044年，一位未来主义工程师戴着流线型头盔，头盔上有发光的电线和高科技面罩，在一个充满活力的空间站中工作。,"In the year 2044, a futuristic engineer wears a streamlined helmet with glowing wires and a high-tech visor as he works in a vibrant space station."
224,t2i,可爱的动漫女孩穿着细节精致、阴影逼真的蒸汽朋克盔甲，置身于明亮、欢快的环境中。,"Cute anime girls in beautifully detailed and realistically shaded steampunk armor in a bright, cheerful environment."
225,t2i,孩子们坐在草地上，看着宁静的宇宙飞船在天空中漂浮，这是一个宁静的数字场景。,It's a serene digital scene as children sit on the grass and watch serene spaceships float in the sky.
226,t2i,一个人站在白色背景前，以在ArtStation上流行的幻想艺术风格呈现。,"A man standing in front of a white background, rendered in the fantasy art style popularized on ArtStation."
228,t2i,在一个色彩斑斓的数字艺术场景中，一位友好的篮球运动员遇到了一只巨大的友好怪物。,"In a colorful digital art scene, a friendly basketball player encounters a giant friendly monster."
229,t2i,这是一张情绪化的户外照片，展示了茂密的深色植物，细节在浓郁的深色中散发着光芒。,"It's a moody outdoor photo showcasing lush, dark plants with details that glow in rich, dark colors."
230,t2i,Vernon，一个戴着耳机背心和连体衣的谨慎黑客，穿梭在一个具有真实比例的阴郁工业城市景观中。,"Vernon, a discreet hacker in a headset undershirt and jumpsuit, travels through a brooding industrial cityscape of realistic proportions."
231,t2i,这是一幅8K分辨率的数字绘画，描绘了一位穿着奇幻服装的女性站在悬崖上，俯瞰着一片森林山谷。,This is an 8K resolution digital painting depicting a woman in a fantasy costume standing on a cliff overlooking a forested valley.
232,t2i,一张喜剧演员的照片，细节丰富，在ArtStation上非常流行，具有散景效果，使用90毫米f/1.4镜头拍摄。,"A photo of a comedian with lots of detail, popular on ArtStation, with a bokeh effect, taken with a 90mm f/1.4 lens."
237,t2i,一个女孩在一家灯光柔和、细节丰富的温馨咖啡馆里享用一碗拉面。,A girl enjoys a bowl of ramen in a cozy cafe with soft lighting and rich details.
242,t2i,在奇幻森林场景中，一只龙握着一把发光的剑，8K超现实数字艺术作品。,8K surreal digital artwork of a dragon holding a glowing sword in a fantasy forest scene.
246,t2i,这是一幅美丽的扁平化矢量艺术作品，描绘了一轮蓝紫色调的月亮，背景为黑色。,This is a beautiful flat vector artwork depicting a moon in blue-violet tones on a black background.
248,t2i,一位受流行电子游戏和艺术家启发的幻想艺术风格的女士。,A lady with a fantasy art style inspired by popular video games and artists.
251,tie,把背景p成上海外滩,Paint the background as the Bund in Shanghai
261,tie,帮我把背景去掉,Help me get rid of the background.
263,tie,背景换成在日式神社门口,Change the background to the entrance of a Japanese shrine
265,tie,去掉他脸上的胡子和皱纹,Remove the beard and wrinkles from his face.
269,tie,车身颜色改成蓝色,Body color changed to blue
285,tie,请将这幅图p成韩系帅哥,Please make this picture into a handsome Korean man.
288,tie,将狗替换为机器人,Replacing dogs with robots
289,tie,这是我的照片，请修改变帅一点,Here's my picture. Please change it to make it more handsome.
296,tie,帮我加一个墨镜，要帅气风格的,Add a pair of sunglasses for me. Something cool.
302,tie,移除女人,Remove woman
305,tie,将这张图片变成现实风格,Bring this image to life in style
309,tie,帮我换这个头像，蓝色色调，内容保持,"Help me change this avatar, blue color, keep the content"
311,tie,移除货运列车,Removal of freight trains
315,tie,照片上的人物给我抠图换警察衣服,The guy in the photo keyed me into a cop's outfit.
322,tie,将大象替换为长颈鹿,Replace elephant with giraffe
323,tie,把桌布颜色变成亮红色,Change the tablecloth color to bright red
326,tie,在碗旁边添加一把勺子,Add a spoon next to the bowl
329,tie,将图像风格替换为奇幻艺术,Replace image style with fantasy art
333,tie,删除肉饼,Delete meatloaf
338,tie,把图片中手上拿的手机p掉,Take the cell phone out of the picture.
348,tie,表情伤感一点,Emojis are sad.
350,tie,将她的头发染成棕色,Dye her hair brown.
354,tie,让图片人物竖大拇指,Getting a thumbs up from a picture character
357,tie,变成水墨画风格,Into an ink painting style
360,tie,把它画成q版的,Draw it as a q version
373,tie,帮我点燃一下蜡烛，增添一点烛火,Light the candles for me. Add a little candlelight.
375,tie,删除窗户内的女孩。,Remove the girl from the window.
382,tie,請把車子外面的那個女人移除掉，其它東西的要保留，再重新輸出給我圖片,"Please remove the woman on the outside of the car and keep everything else, then re-export the picture to me."
383,tie,将孩子手中的水晶替换为发光的方形盒子,Replace the crystals in your child's hand with glowing square boxes
398,tie,将图像风格更改为气泡风格,Change image style to bubble style
399,tie,把脸p好看点,Make your face look better.
403,tie,让她看起来更加年轻,Makes her look younger.
405,tie,在图中人物旁边添加一个中国年轻女性，笑容灿烂，清纯类型，形态自然，图中人物不做改动,"Add a young Chinese woman next to the character in the picture, with a bright smile, pure type and natural form, the character in the picture is not changed"
413,tie,移除红色哑铃,Remove red dumbbell
417,tie,将镜框的颜色改为橙色,Change the color of the frame to orange
420,tie,把她P的更好看一些,Make her look better.
421,tie,可以在这张图片上加上企鹅的眼睛吗,Can you add penguin eyes to this picture?
428,tie,删除白色护栏,Delete the white railings
435,tie,渲染成皮克斯动画工作室的3D质感,Rendered into Pixar Animation Studios 3D textures
437,tie,去掉他的胡子,Get rid of his beard.
438,tie,以莫奈风格进行重绘,Repainted in the Monet style
442,tie,转化为日本动漫视觉风格,Transformed into Japanese anime visual style
451,tie,添加一只围绕猫飞舞的蝴蝶,Add a butterfly fluttering around a cat
462,tie,采用宫崎骏动画电影的美术风格,Adopts the art style of Hayao Miyazaki's animated films
463,tie,将背景调整为海滩,Adjust the background to the beach
473,tie,将蛋糕换成馅饼,Swap the cake for a pie.
475,tie,把他P帅一点，眼神锐利一些,"Make him more handsome, with sharper eyes."
484,tie,移除黑色帽子,Remove black hat
489,tie,将背景调整为沙漠,Adjust the background to desert
494,tie,擦除斑马,Erase Zebra
509,vttie,将文本 'CLASSIC MOJITO' 替换为 'BABY MILKSHAKE',Replace the text 'CLASSIC MOJITO' with 'BABY MILKSHAKE'.
518,vttie,帮我把诸暨两个字改为永康两个字,Help me change Zhuji to Yongkang.
520,vttie,帮我把“致青春”改成“致少年”,"Help me change ""To Youth"" to ""To Youth""."
527,vttie,将文本 'PIZZA' 替换为 'PLAZA',Replace the text 'PIZZA' with 'PLAZA'.
532,vttie,"Change ""这么任性"" to ""这么任意""","Change ""so capricious"" to ""so arbitrary""."
539,vttie,将文本 'SUMMER' 替换为 'WINTER',Replace the text 'SUMMER' with 'WINTER'.
544,vttie,去掉“copy chief from random house”,去掉“copy chief from random house”
546,vttie,"Modify this image directly, do not generate a new one. Add the four characters ""彷徨之刃"" on the left side.","Modify this image directly, do not generate a new one. Add the four characters ""彷徨之刃"" on the left side."
563,vttie,去掉文字,Remove the text.
578,vttie,将文本 'FAIRGROUNDS' 更改为 'PARKWAY',Change text 'FAIRGROUNDS' to 'PARKWAY'
581,vttie,将文本 'TOFEL' 替换为 'IELTS',Replace the text 'TOFEL' with 'IELTS'.
582,vttie,黑板上写上“SMILE”,"Write ""SMILE"" on the board."
591,vttie,把“古堡惊魂”删除,"Delete ""The Haunting of the Castle""."
596,vttie,将图片中的文本去掉,Remove the text from the image
605,vttie,更改文本 '23' 为 '45',Change text '23' to '45'
614,vttie,"Replace the tattoo text in the image with ""此生不负你"".","Replace the tattoo text in the image with ""此生不负你""."
620,vttie,将文本 'LONDON' 替换为 'ENGLAND',Replace the text 'LONDON' with 'ENGLAND'.
624,vttie,"Add the four characters ""松前云鹤"" to this image in a calligraphy style.","Add the four characters ""松前云鹤"" to this image in a calligraphy style."
629,vttie,"Remove the text and add  ""我爱你""","Remove the text and add ""我爱你"""
632,vttie,将文本 'JACQUES' 替换为 'QUEENS',Replace the text 'JACQUES' with 'QUEENS'.
637,vttie,将文本 'WOOD' 替换为 'LAND',Replace the text 'WOOD' with 'LAND'.
640,vttie,小跃，你能把里面的“曹”字换成“叶”字吗？,"Leap, can you replace the word ""Cao"" with the word ""Ye""?"
644,vttie,在文本 '2025' 下方加上 'SPRING',Add 'SPRING' under the text '2025'
647,vttie,将文本 'ESTATE TACHEN' 更改为 'Timeless Fashion',Change the text 'ESTATE TACHEN' to 'Timeless Fashion'
653,vttie,将文本 'IELTS' 替换为 'TOFEL',Replace the text 'IELTS' with 'TOFEL'.
658,vttie,图片中间添加“GAMES”,"Add ""GAMES"" in the center of the picture."
661,vttie,"Help me change ""行动"" to ""出击""","Help me change ""行动"" to ""出击"""
663,vttie,"Remove ""秘制麻麻鱼"" ","Remove ""Secret Marmalade Fish"""
