index,task_type,prompt,ori_image,target_image
70,t2i,A man with colorful paint on his face smiles brightly in a sunny park with a soft blurred background and a lens halo.,,
71,t2i,Fashion model in serene morning light with deep blue green water reflecting heaven mood in intricate poster art style,,
72,t2i,A man with a detailed face in a dark cinematic scene by an unknown director,,
73,t2i,Hopeful astronauts with blonde hair in a vibrant red and white space scene inspired by art.,,
74,t2i,Gorgeous female in soft lighting captured in high definition artfully retouched by a skilled artist,,
75,t2i,A photo of a happy family in the park taken at 8k resolution on a sunny day.,,
76,t2i,film of oil on water surface shines with rainbow colors,,
77,t2i,A young knight in white armor stands in a gothic cathedral with flowing hair and intricate armor details,,
78,t2i,Muscular cat hunter with weapon in sunlight oil painting by Rembrandt with dramatic clouds and atmosphere,,
79,t2i,Glass greenhouses filled with sun-bathed flowers offer solace in a mysterious ether-punk world.,,
80,t2i,A couple repairs a spaceship interior in low key lighting with hyper real photorealistic cinematic beauty,,
81,t2i,This is a serene desert landscape painting by a popular artist with huge sand dunes and soft colors.,,
82,t2i,A dog tied a man to a pole in a digital painting with smooth sharp focus and cinematic lighting,,
83,t2i,A politician reflects on past decisions in a quiet office.,,
84,t2i,A surreal scene with vibrant colors and dark tones in a triadic color scheme by an unknown artist,,
85,t2i,A classic art style portrait of a woman in a serene garden setting,,
86,t2i,"This is a detailed oil painting depicting a futuristic sci-fi character with auroras, clouds, stars and baroque elements in the background.",,
87,t2i,"In the magical atmosphere of a grand hall, a fantasy character is captured in a highly detailed 8K image.",,
88,t2i,A man in blue sits on a bench facing away observing wall art with musical notes in background high quality detailed masterpiece,,
89,t2i,Majestic dragon roars in snowy mountain range with wings spread in ultra high quality 3D art,,
90,t2i,A witch in a purple cloak casts a spell on a creature against a fantastical backdrop.,,
91,t2i,bold line art portrait inspired by minimalist style with confident curves and soft swirls expressing raw emotion,,
92,t2i,Mushrooms in a forest with sunlight filtering through trees creating a serene natural scene,,
93,t2i,A red fox in a forest at dawn with soft light and shadows in a digital painting,,
94,t2i,People watch rockets launch under colorful clouds in a meadow with a tree.,,
95,t2i,A tiny cosmic phenomenon contained within a glass vessel,,
96,t2i,This is a detailed portrait of a friendly creature with bat-like features against a background of soft gradient color tones.,,
97,t2i,Mushroom vase floats in sky and sea with purple scrolls colorful shells and koi fishes in soft light,,
98,t2i,Friendly light figures dance in a colorful field creating a mesmerizing scene of unity and harmony in art,,
99,t2i,liberal women with unique hairstyles captured in side profile headshots with f3.5 aperture and ISO 100 settings,,
100,t2i,New York City skyline in 1998 realistic digital art by artists trending on ArtStation highly detailed,,
101,t2i,It's a futuristic figure designed by a modern artist who wears a sleek helmet and is covered in wires.,,
102,t2i,"Foggy city streets at night, colorful lights and futuristic cars make for a vibrant urban scene.",,
103,t2i,A futuristic character in a pink jacket and blue suit sits in a chrome vehicle surrounded by dramatic lighting.,,
104,t2i,Summer lake scene with barge reed and clear sky in vibrant colors by skilled artists,,
105,t2i,A beautiful digital art masterpiece of an explorer and his dog hiking in the Arctic.,,
106,t2i,This is a serene digital painting depicting an exoplanet jungle filled with glowing plants and alien life.,,
107,t2i,A quiet meadow owl perches on the roof of a cozy home in a quiet neighborhood.,,
108,t2i,Captivating underwater scenes with magical creatures swimming gracefully through the vibrant ocean.,,
109,t2i,"Vintage 70's school photo of people with quirky eyes and smiles in a nostalgic, slightly dusty frame.",,
110,t2i,A man and woman chat in a medieval-style library with changing lighting effects and an overall blue-brown color palette.,,
111,t2i,A guy singing karaoke in a lively club atmosphere.,,
112,t2i,Two adventurers battle atop a moving train in a gritty industrial landscape under a stormy sky,,
113,t2i,"In a busy city scene, a girl stands at a stoplight with a watermelon in her hand.",,
114,t2i,An Egyptian woman in a diving mask underwater with ocean details by an artist,,
115,t2i,A lone traveler walks through a detailed city street with towering buildings in a futuristic setting,,
116,t2i,Girl walks through daisy field under starry night sky with surreal light and clouds in dreamlike scene,,
117,t2i,A photorealistic DJ in tech wear performs under studio lights in a detailed and intricate setting,,
118,t2i,"Bob Ross creates a serene landscape with digital art featuring a goat in a peaceful meadow, smooth and detailed.",,
119,t2i,A charming goblin princess portrait with a cute face in a magical forest setting,,
120,t2i,A samurai warrior with blue skin wears a haori kimono in a detailed official portrait,,
121,t2i,A serene park scene with soft sunlight filtering through trees creating a peaceful atmosphere for a quiet stroll,,
122,t2i,"Epic, photorealistic 4K portraits with cinematic lighting and detail, created using Unreal Engine 5.",,
123,t2i,"In 1920s American painting, a mother's tears evoke a moving family moment.",,
124,t2i,Ultra HD natural photo of a person wearing colorful clothing and playful makeup in a lively holiday scene.,,
125,t2i,A cute space cadet girl with elegant freckles and open eyes in wonder in a realistic anime style scene,,
126,t2i,New poster shows beige background with brown designs white text at bottom modern minimalist art by Di Cavalcanti,,
127,t2i,Specter appears before a chapel at night with soft glow and vintage film effect,,
128,t2i,"This is a detailed illustration depicting a young archer in a vibrant forest setting, brought to life by soft lighting and exquisite detail.",,
129,t2i,Orcas build an underwater city using coral and rock in a deep ocean environment creating a unique marine habitat,,
130,t2i,A beautiful lady in a sparkling gown at a glitzy event.,,
131,t2i,It's a serene garden scene with brightly colored flowers and lush greenery in soft pastel shades.,,
132,t2i,A magical forest where dinosaurs roam peacefully alongside humans in a whimsical world,,
133,t2i,A silver pocket watch lies quietly in a peaceful woodland pyramid valley with a softly blurred background.,,
134,t2i,"A beautiful young queen stands in a symmetrical, surreal galactic scene wearing an elaborate Art Deco gown.",,
135,t2i,A pirate with a sharp face stands on a ship in realistic lighting,,
136,t2i,Pirates battle a giant worm in a dark fantasy scene with high detail and cinematic atmosphere in a film still,,
137,t2i,Two monkeys examine a red rotary phone on a sidewalk in a detailed realistic 4k masterpiece scene,,
138,t2i,a somber image of an aged clown with cotton candy hair and paint splashes evoking sadness,,
139,t2i,Family in a vibrant garden under the sun,,
140,t2i,a woman in white dress gazes at camera near fence,,
141,t2i,Astronauts take selfies in a futuristic spaceship with glowing infrared lights and intricate spacesuit details.,,
142,t2i,Actor in costume holds a glowing sword in a dark room,,
143,t2i,A majestic creature in a vivid oil painting style blends shark and jaguar traits in ultra high definition,,
144,t2i,Claymation camping scene with happy bushbaby family barbequing playing toys in detailed Wes Anderson style setting,,
145,t2i,A vintage nature photo with 70s colors and film grain effects,,
146,t2i,"Here's a real photo of a Lisbon convenience store in 2022, with striking architecture inspired by the Alphonse Mucha style.",,
147,t2i,A knight in armor stands in a dimly lit castle hall with dramatic shadows and vivid colors,,
148,t2i,A person holds a bowling ball in a fun pop culture scene,,
149,t2i,A peaceful park scene with people enjoying a sunny day.,,
150,t2i,"It's a vision of the city of the future, complete with streamlined skyscrapers and bright neon lights that illuminate the streets at night.",,
151,t2i,Modern city park with sleek design glowing in golden hour light rendered in 8k detail,,
152,t2i,Astrophotography captures galactic nebulae and space clouds in ultra-high-definition 8K ray-traced realism.,,
153,t2i,Steampunk figure with goggles and auburn hair in digital art style popular on art platforms,,
154,t2i,A young woman with green eyes and pink braids in a softly lit room with smooth focus art style,,
155,t2i,A futuristic robot artist creates stunning vector art in a sci-fi studio setting with global illumination effects,,
156,t2i,Traditional Japanese art meets futuristic cityscapes in a vibrant digital world.,,
157,t2i,An astronaut explores the serene lunar landscape under the stars Digital Artwork,,
158,t2i,Futuristic solar-powered punk city with modern architecture and vibrant city life under stormy evening skies.,,
159,t2i,This is a detailed digital painting by multiple artists depicting a male warrior in armor and helmet.,,
160,t2i,Futuristic toys captured in ambient environments are presented in detailed black and white ultraviolet photographs.,,
161,t2i,It's a nighttime cityscape with vibrant colors and futuristic architecture in a busy urban environment.,,
162,t2i,A nostalgic biomechanical mouse in a vintage mask wearing a robe stands under a giant flower with dramatic lighting in the background.,,
163,t2i,Shining blue forest with glowing foliage tall trees hanging vines and moss in a mystical scene,,
164,t2i,Astronauts enjoy a sunny day relaxing on a Hawaiian beach in a high-resolution 4K nature photo.,,
165,t2i,Forests and grasslands mingle in the serene landscape.,,
166,t2i,Toyota Celica turbo at night in Shibuya with detailed wheels and cinematic colors in photorealistic style,,
167,t2i,A bustling city square filled with people enjoying sunny weather,,
168,t2i,A workshop with colorful gears and steam pipes by a glowing window in 1950s style high detail digital art,,
169,t2i,A stunning sunset scene with warm golden light illuminates a peaceful park where people enjoy nature together,,
170,t2i,A princess in vibrant attire with intricate facial features in a fantasy setting,,
171,t2i,A superhero stands next to a politician and observes a famous clock tower in London.,,
172,t2i,A spaceship explores a vibrant biomechanical alien world of colorful creatures and swirling water vortices.,,
173,t2i,One admires a majestic statue in the serene desert as the sun sets and the sky takes on a dreamy coral color.,,
174,t2i,A DIY guide for beginners with clear illustrations and written instructions for assembling storage bins.,,
175,t2i,WLOP's epic digital painting concept art released on ArtStation in official 8K UHD media is catching on.,,
176,t2i,a minimalist laughing skull enamel pin with fire flames in a vintage style high definition concept art,,
177,t2i,This is a heroic adventure poster showing a thrilling rescue mission in a busy city night scene.,,
178,t2i,a fluffy squirrel with cute fur in a forest scene,,
179,t2i,Two musicians meet on stage for a handshake in a concert hall,,
180,t2i,A couple explores a foggy night park by moonlight in a 2018 movie-style scene.,,
181,t2i,A detective goose in neon dystopia core fights apocalyptic warriors with sharp focus and cinematic lighting,,
182,t2i,Celestial gardens with stained glass windows and hanging plants in a whimsical ethereal setting with godrays and soft light,,
183,t2i,A man in a suit holding a Polaroid in a formal setting.,,
184,t2i,"Astronauts enjoying music on Mars, a vibrant, detailed and colorful digital painting in a smooth, high-definition and semi-realistic style.",,
185,t2i,"In one digital illustration, a grand fantasy figure stands in dramatic light with intricate and exquisite detail.",,
186,t2i,"This is a portrait of two women taken with natural light, their facial features are rich in detail, their faces are symmetrical, and the image captures their halves.",,
187,t2i,A scientist in a video game lab experiments with chemicals to create new weapons for players to use in battles,,
188,t2i,A smooth digital painting of a fantasy scene with intricate elegant details in sharp focus art,,
189,t2i,vector patterns are beautiful and intricate designs in art,,
190,t2i,Eagle view captures joyful crowd embracing in unity,,
191,t2i,a skull in a cowboy hat on a starry night sky backdrop,,
192,t2i,A detailed anatomical illustration of a human heart rendered in Unreal Engine 5 trending on Flickr,,
193,t2i,"Humanoid male bear in Delta Air Lines pilot's uniform, stylized by the artist in detailed soft light and rendered in Octane.",,
194,t2i,A stylishly dressed woman walks across a foggy cityscape in high heels under movie-like lighting.,,
195,t2i,girl riding a motorcycle in a cityscape at sunset,,
196,t2i,"This is a stunning digital depiction of a Roman chaste woman, with sharp focus and fine detail in elegant light.",,
197,t2i,Witnessing a breathtaking sunset over the ocean with stars twinkling above painting by Karel Thole oil on canvas,,
198,t2i,Masquerade mask princess in a grand ballroom with elegant guests and shimmering chandeliers,,
199,t2i,"This is a full-body portrait depicting a superhero in steel battle armor, featuring cinematic lighting effects and highly detailed depictions.",,
200,t2i,A witch with black hair and a blue and gray fantasy costume has gone viral as a 4K art piece on ArtStation.,,
201,t2i,"A curly-haired woman dances joyfully under the spotlight, wearing a pink and blue costume and a joyful smile on her face.",,
202,t2i,"In a serene forest scene, a blue-skinned alien in tights transforms into a bird through the magic of nature.",,
203,t2i,Please provide a clear prompt so that I can make appropriate rewrites and adjustments.,,
204,t2i,Fall leaves gently fall in a serene park scene.,,
205,t2i,A dancer performs on a vibrant stage in a colorful remake of a classic film,,
206,t2i,A boy in a protective suit carries a glass backpack with plants through a smoke-filled cityscape.,,
207,t2i,Steampunk style giraffe robot in a serene Japanese garden scene.,,
208,t2i,Elegant fox head torch holder in smooth digital art style with sharp focus and intricate details,,
209,t2i,Elegant digital artwork of a woman with flowing hair in a serene garden setting,,
210,t2i,Explore vibrant art styles blending surrealism and realism in a bustling cityscape,,
211,t2i,a simple drawing of a generic banknote in a realistic style,,
212,t2i,A girl with short hair jumps for joy on the beach at Cape Agder on a sunny day.,,
213,t2i,"This is a stunning mosaic artwork, presented in the style of Alfredo Candelares, with a realistic and detailed composition.",,
214,t2i,Elegant luxury logo for Nano a cosmetic audiovisual production studio,,
215,t2i,A socially awkward robot on a movie set in a cyberpunk world.,,
216,t2i,Elegant steampunk figure in brown blue dress poses symmetrically with detailed eyes in spooky middle shot scene,,
217,t2i,Girl strolls through mid-century hotel with symmetrical decor in vivid hues and fanciful details,,
218,t2i,This is an illustration with a detailed background depicting a clear portrait of a hero in a dynamic pose holding a katana.,,
219,t2i,A lovely anthropomorphic character in a green foggy scene with delicate and elegant set design and dramatic lighting effects.,,
220,t2i,"A realistic painting of a sea turtle sleeping near a spacious attic filled with historical artifacts, seen from a low angle.",,
221,t2i,Look up at a towering tree from below in a dreamy digital art style.,,
222,t2i,"In the year 2044, a futuristic engineer wears a streamlined helmet with glowing wires and a high-tech visor as he works in a vibrant space station.",,
223,t2i,A knight in golden armor holds a shield and spear under god rays in a sacred magic filled scene,,
224,t2i,"Cute anime girls in beautifully detailed and realistically shaded steampunk armor in a bright, cheerful environment.",,
225,t2i,It's a serene digital scene as children sit on the grass and watch serene spaceships float in the sky.,,
226,t2i,"A man standing in front of a white background, rendered in the fantasy art style popularized on ArtStation.",,
227,t2i,A king and queen in a bright desert captured in a detailed studio quality CGI art shot,,
228,t2i,"In a colorful digital art scene, a friendly basketball player encounters a giant friendly monster.",,
229,t2i,"It's a moody outdoor photo showcasing lush, dark plants with details that glow in rich, dark colors.",,
230,t2i,"Vernon, a discreet hacker in a headset undershirt and jumpsuit, travels through a brooding industrial cityscape of realistic proportions.",,
231,t2i,This is an 8K resolution digital painting depicting a woman in a fantasy costume standing on a cliff overlooking a forested valley.,,
232,t2i,"A photo of a comedian with lots of detail, popular on ArtStation, with a bokeh effect, taken with a 90mm f/1.4 lens.",,
233,t2i,Minimal acorn transforms into treble clef tree with vibrant colors and inspirational power in high resolution clarity,,
234,t2i,A child expresses joy in a playground scene,,
235,t2i,High quality portrait art with intricate detail and cinematic shot style trending on artstation,,
236,t2i,a young woman in a floral dress stands in a sunlit garden,,
237,t2i,A girl enjoys a bowl of ramen in a cozy cafe with soft lighting and rich details.,,
238,t2i,A detailed 8k render of a stylized character in dim lighting with intricate details and epic composition,,
239,t2i,dewdrop glistens on soft flower petal in morning light,,
240,t2i,Large spear-shaped spaceship concept art by an artist in space exploration museum,,
241,t2i,A student in a modern school uniform stands in a classroom learning diligently,,
242,t2i,8K surreal digital artwork of a dragon holding a glowing sword in a fantasy forest scene.,,
243,t2i,A student in uniform dances gracefully in a well-lit classroom with soft shadows and detailed artistry,,
244,t2i,Fashionable woman in boho style sits at night under red light with thunder clouds in sky,,
245,t2i,A serene landscape with a smiling figure in elegant attire amidst nature's beauty in soft light,,
246,t2i,This is a beautiful flat vector artwork depicting a moon in blue-violet tones on a black background.,,
247,t2i,Children playing safely in a sunny park with colorful balloons and happy faces,,
248,t2i,A lady with a fantasy art style inspired by popular video games and artists.,,
249,t2i,Screenshot of a character in a video game talking to another character in a post-apocalyptic setting,,
250,t2i,A girl in blue and yellow holds a flag facing a distant ship under moonlight in a steampunk scene,,
251,tie,Paint the background as the Bund in Shanghai,fb81398d8c0b47b088f0bb3f6cc95902.jpg,
252,tie,change the color of shirt to gray,f06685fcc15046aca726288ea996ddf9.jpg,
253,tie,Transform the image into a retro aesthetic.,4546a3a41eb9483b8082d16739cab3c0.jpg,
254,tie,Make the picture seem like it was taken outdoors at food festival,e387afbd7af44831a56cce88e328be30.jpg,
255,tie,Remove the red outline from the skateboarder in the air.,c2e6fdf24d9646c3acdd3765235e777b.jpg,
256,tie,Remove the cat from under the monitor.,42119230876347f3ab8547a280bbd47a.jpg,
257,tie,Add a bottle of red wine behind the glass.,55646b2dc5284fef8d81f456dc08e05d.jpg,
258,tie,"Change the pizza box to a plate of salad with lettuce and plum tomatos; change the man to a white female with long blond, straight hair.",a7f41f206c2348059b56bdf1983622db.jpg,
259,tie,Change the pizza into an apple pie.,4d4b6ae1568645e1b958e9629e4d0876.jpg,
260,tie,Take away the tallest tree from the image.,2ea6f3a0f3fa407ebd6c75f35124f869.jpg,
261,tie,Help me get rid of the background.,ccbb99bd494946f99597e9d07237f345.jpg,
262,tie,Add some snow to the background.,7f9d734c66e54fb8b9b6fc0be7224997.jpg,
263,tie,Change the background to the entrance of a Japanese shrine,a52757ec2978429f9177126d0ec16c81.jpg,
264,tie,Remove the cup with the pink drink,e8b979b0d4b3479293c843e6212d8a96.jpg,
265,tie,Remove the beard and wrinkles from his face.,62ae40ed9cbd4edc878ba997e4d6cb5b.jpg,
266,tie,Close the umbrella that the woman is holding.,a0e4f10cb93c4ca0bc1dd4bffbb6b680.jpg,
267,tie,The wheel of the back tire of the bike should be dirty.,04b5bc25acc8410c9a4a9e2b5fc3ba76.jpg,
268,tie,Remove all the post its from the photo,5c734cbbb78945ebac06da6436d36b19.jpg,
269,tie,Body color changed to blue,d6e4b4ce3bc8467eb630022484affc88.jpg,
270,tie,turn the street light into a flag pole,e040422c8bf64a2bbcfb71b4d351868a.jpg,
271,tie,Add a cheese grater near the coffee maker.,e54e9cd85de64298820d40a36356b85d.jpg,
272,tie,change the frisbee into a lead anvil,13d84c8e5b3a4a118853418711933c1c.jpg,
273,tie,Edit the image so that the child's face is clean.,3b428760f9f142ac9c9bc23dc35e5857.jpg,
274,tie,Remove the blue skis that are next to the snowboard.,3156ae9f36e148ccae9bd2ae12e6eb11.jpg,
275,tie,Change the green leaf on the top of the front object to a toothpick flag.,1ac95c0e449d4798850e273b3f5b17e0.jpg,
276,tie,turn the cow into an orange kitten,4588920f809a44b9b2b3cf5d09acf66b.jpg,
277,tie,Make him grow long hair,d8fb6b34f8be4ce884ddf72e89e353ec.jpg,
278,tie,Remove the boxes from the photo,6e9975d4e0d5417f8371c4dd1c1c463c.jpg,
279,tie,Change this image to a Pixar style with a background of a vibrant spring park while keeping the character unchanged.,e4952042183143d38f816a56524f9749.jpg,
280,tie,Make this in an elegant restaurant,3e2a1701e0a84d7890cb2e69efb50cec.jpg,
281,tie,Make the room seem like it is on fire.,08c43cbe285f40a3a59e3e2dd18abe76.jpg,
282,tie,Add an advertisement to the wall behind the camera man.,18cf7fa0a3dd45c0b3d37109ba22fed6.jpg,
283,tie,"Can you Photoshop a girlfriend for me? Sitting alone is boring, and I’ve already left space for her.",66865d86cbe94116ba574eebe9235fbe.jpg,
284,tie,Change the background to a city street.,110ec477456a4d58bda9535c76be7dde.jpg,
285,tie,Please make this picture into a handsome Korean man.,9e272b59b82a44079065958e3cb7253e.jpg,
286,tie,Change the cat to an armadillo. ,10c44c3bed3b440d81005e320f5b6cba.jpg,
287,tie,Remove the cows from the image.,e3e0c577ec80419e99e15a6cb01e81a3.jpg,
288,tie,Replacing dogs with robots,02c80f656344431cbf6174bc057d145e.jpg,
289,tie,Photoshop this photo to make the person more handsome.,acdd3cfc5d884d37a6b98e88e6cc008a.jpg,
290,tie,Remove the printer from the shelf under the laptop.,d2e0f2fcdc994926804fd54637ca7e3a.jpg,
291,tie,turn the players bat into a turkey leg,2b2bd0bd568b4a2abff9b5f1f616ba86.jpg,
292,tie,"Make his skin smoother, no wrinkles",2bfcdeb3b584430e938299c361cafef3.jpg,
293,tie,Remove the person from the top of the boat cabin.,96f2a3e6cbc44561bb240d35133d56bb.jpg,
294,tie,Add a shark to the water.,503b1bc19a864b27b5f82336c702c628.jpg,
295,tie,change the tent into a floating UFO,2fab9ed4b4214c4abc86d89638443e85.jpg,
296,tie,Add a pair of sunglasses for me. Something cool.,efb7b89e1eb94d00b2ef7d193d0cf2ce.jpg,
297,tie,Add a grasshopper in the grass.,4ecc4e6dff924224a8b76c420067e0a5.jpg,
298,tie,Add a lifeguard station behind the people.,d46cae5eace24289a48b9b6918614802.jpg,
299,tie,Replace the person in the mirror wearing a white shirt with a wardrobe.,153c54b72c504cb685ec6e73422c6340.jpg,
300,tie,Change the fork to a knife.,141cb3b6fa224e429fafa98e278c29c2.jpg,
301,tie,Add a robot walking down the stairs on the right stairwell. ,37bf2cedc6c545bd830e0cb2fd110814.jpg,
302,tie,Remove woman,336e1df11dcb44719f8d7bcce5242b5c.jpg,
303,tie,Remove the cat from the image.,b18e02cb01784a978149a88106b66bef.jpg,
304,tie,Remove the cat from the sink in the photo.,f9159d6c5dbd4a308a68dd3d0abd4c8d.jpg,
305,tie,convert the image into a photorealistic image.,d17b8f06838240aeb463dd4e11b1980c.jpg,
306,tie,Get rid of the last train car.,ec7713b28cf54232adc6b3459aea70ff.jpg,
307,tie,Overlay the ground with small white flowers.,e85a978f557f474d8cee6563cc5b644e.jpg,
308,tie,"Remove the number ""892"" from the front of the bus.",64a2a5c5d1a347daaa67ce54ab725682.jpg,
309,tie,"Help me change this avatar, blue color, keep the content",cb566a018c8148b3b8c7ac3c53bc0cc8.jpg,
310,tie,Remove the person from the image.,906aaaf953cd41b9ae374849e38bca10.jpg,
311,tie,Removal of freight trains,6156a5a0918348ea80fa2416d88e96b1.jpg,
312,tie,Add a gazebo near the rocks,77103701589846c39731aa688813e2f9.jpg,
313,tie,Replace the tennis racquet with a table tennis paddle.,4f5bf53af97248b4aaff799bbfdbd912.jpg,
314,tie,Replace the broccoli with green pepper slices.,76c5d744f1ba45fcab51754cb70a5115.jpg,
315,tie,replace the person's clothes with a police uniform,c9ff2f6413ce4d6b940a42421f832ad5.jpg,
316,tie,Get rid of the brown toy that is in front of the cup.,bfc05b8f356f464f9da0a8687d6af091.jpg,
317,tie,turn the grocery sign into a liquor store sign,490c579dbc824bd3a879ede004ba71c2.jpg,
318,tie,Turn the bag stand into a glass counter.,b07ba61f9bcb402f9bb34e4ed7b0617d.jpg,
319,tie,Make the boy have a shaved head.,a6795503282548f69885340e93f8f147.jpg,
320,tie,Make the room look like it is on fire.,f8d3efbbce1d441988cbe6231be81418.jpg,
321,tie,Add strawberries and bananas to the red bowl.,974bc937522047b28af80a58d5d70b68.jpg,
322,tie,Replace elephant with giraffe,9b9e6c1b0b5f46cfbdedd7247575e031.jpg,
323,tie,Change the tablecloth color to bright red,1397eecdf4a24c5aaa64982546254909.jpg,
324,tie,Make the photo seem like it was taken on a movie set.,8cfebeb5c6cd4ec08a4cd0adee925b57.jpg,
325,tie,On the hot dog remove the chili. ,062434f05a3f47d488e6ff6707dbcc4b.jpg,
